customer_id,transaction_id,timestamp,channel,message_summary
CUST_000565,TXN_00000004,2026-06-11 02:13:35,chat,shipment never arrived
CUST_000175,TXN_00000013,2026-06-27 02:13:35,phone,inquired about shipping status
CUST_000163,TXN_00000020,2026-06-15 02:13:35,support_ticket,item not as described
CUST_000064,TXN_00000027,2026-05-07 02:13:35,support_ticket,refund requested
CUST_000045,TXN_00000034,2026-03-30 02:13:35,support_ticket,when will order arrive
CUST_000099,TXN_00000040,2026-04-17 02:13:35,email,product quality issue
CUST_000205,TXN_00000064,2026-04-13 02:13:35,chat,item not as described
CUST_000598,TXN_00000071,2026-04-24 02:13:35,phone,where is my order
CUST_000298,TXN_00000080,2026-07-06 02:13:35,email,when will order arrive
CUST_000210,TXN_00000085,2026-08-25 02:13:35,chat,still waiting for delivery
CUST_000084,TXN_00000087,2026-06-03 02:13:35,support_ticket,when will order arrive
CUST_000408,TXN_00000091,2026-04-01 02:13:35,email,return initiated
CUST_000048,TXN_00000095,2026-05-09 02:13:35,support_ticket,package not delivered
CUST_000536,TXN_00000098,2026-06-15 02:13:35,support_ticket,still waiting for delivery
CUST_000550,TXN_00000099,2026-07-26 02:13:35,email,package not delivered
CUST_000545,TXN_00000102,2026-07-11 02:13:35,support_ticket,thanked for fast shipping
CUST_000141,TXN_00000105,2026-04-04 02:13:35,email,item not as described
CUST_000512,TXN_00000106,2026-05-17 02:13:35,support_ticket,complained item damaged
CUST_000177,TXN_00000112,2026-07-20 02:13:35,phone,package not delivered
CUST_000526,TXN_00000121,2026-04-15 02:13:35,email,cancellation requested
CUST_000318,TXN_00000122,2026-04-06 02:13:35,email,package not delivered
CUST_000389,TXN_00000123,2026-04-23 02:13:35,chat,still waiting for delivery
CUST_000127,TXN_00000128,2026-04-26 02:13:35,email,shipment never arrived
CUST_000599,TXN_00000129,2026-06-08 02:13:35,chat,product quality issue
CUST_000488,TXN_00000130,2026-05-14 02:13:35,email,order not received
CUST_000009,TXN_00000138,2026-06-29 02:13:35,support_ticket,shipment never arrived
CUST_000497,TXN_00000146,2026-04-27 02:13:35,support_ticket,shipment never arrived
CUST_000088,TXN_00000156,2026-08-03 02:13:35,support_ticket,still waiting for delivery
CUST_000086,TXN_00000159,2026-07-16 02:13:35,email,inquired about shipping status
CUST_000107,TXN_00000160,2026-06-26 02:13:35,email,still waiting for delivery
CUST_000322,TXN_00000161,2026-04-12 02:13:35,phone,where is my order
CUST_000413,TXN_00000166,2026-06-08 02:13:35,chat,shipment never arrived
CUST_000486,TXN_00000170,2026-04-02 02:13:35,chat,when will order arrive
CUST_000480,TXN_00000183,2026-04-06 02:13:35,phone,where is my order
CUST_000244,TXN_00000186,2026-05-01 02:13:35,support_ticket,order not received
CUST_000501,TXN_00000197,2026-06-28 02:13:35,phone,when will order arrive
CUST_000079,TXN_00000201,2026-06-16 02:13:35,phone,shipment never arrived
CUST_000578,TXN_00000205,2026-04-26 02:13:35,email,asked for tracking number
CUST_000092,TXN_00000217,2026-07-04 02:13:35,support_ticket,order not received
CUST_000348,TXN_00000219,2026-08-18 02:13:35,chat,order not received
CUST_000346,TXN_00000224,2026-07-02 02:13:35,phone,asked about delivery delay
CUST_000322,TXN_00000232,2026-06-06 02:13:35,support_ticket,thanked for fast shipping
CUST_000215,TXN_00000240,2026-04-01 02:13:35,email,where is my order
CUST_000025,TXN_00000242,2026-07-28 02:13:35,phone,package not delivered
CUST_000267,TXN_00000243,2026-07-20 02:13:35,phone,still waiting for delivery
CUST_000462,TXN_00000251,2026-06-11 02:13:35,email,order not received
CUST_000176,TXN_00000252,2026-03-27 02:13:35,phone,asked for tracking number
CUST_000433,TXN_00000258,2026-06-11 02:13:35,email,thanked for fast shipping
CUST_000415,TXN_00000267,2026-04-19 02:13:35,email,order not received
CUST_000049,TXN_00000269,2026-05-12 02:13:35,email,where is my order
CUST_000490,TXN_00000270,2026-06-27 02:13:35,chat,order not received
CUST_000463,TXN_00000273,2026-06-09 02:13:35,support_ticket,item not as described
CUST_000547,TXN_00000293,2026-08-10 02:13:35,chat,product quality issue
CUST_000114,TXN_00000295,2026-05-17 02:13:35,chat,confirmed delivery received
CUST_000139,TXN_00000313,2026-07-02 02:13:35,email,product quality issue
CUST_000179,TXN_00000317,2026-04-26 02:13:35,phone,product quality issue
CUST_000015,TXN_00000325,2026-04-28 02:13:35,email,when will order arrive
CUST_000588,TXN_00000330,2026-03-16 02:13:35,phone,delivery date inquiry
CUST_000364,TXN_00000337,2026-07-01 02:13:35,phone,refund requested
CUST_000352,TXN_00000343,2026-06-01 02:13:35,email,shipment never arrived
CUST_000495,TXN_00000345,2026-05-28 02:13:35,support_ticket,cancellation requested
CUST_000060,TXN_00000347,2026-05-10 02:13:35,email,when will order arrive
CUST_000384,TXN_00000348,2026-07-01 02:13:35,phone,item not as described
CUST_000470,TXN_00000366,2026-03-16 02:13:35,phone,asked about delivery delay
CUST_000118,TXN_00000372,2026-07-10 02:13:35,support_ticket,where is my order
CUST_000410,TXN_00000373,2026-04-11 02:13:35,chat,item not as described
CUST_000265,TXN_00000376,2026-06-25 02:13:35,phone,return initiated
CUST_000587,TXN_00000378,2026-07-07 02:13:35,phone,shipment never arrived
CUST_000060,TXN_00000379,2026-03-24 02:13:35,support_ticket,inquired about shipping status
CUST_000555,TXN_00000384,2026-06-15 02:13:35,email,return initiated
CUST_000125,TXN_00000385,2026-03-23 02:13:35,chat,shipment never arrived
CUST_000355,TXN_00000389,2026-05-09 02:13:35,email,delivery date inquiry
CUST_000221,TXN_00000401,2026-04-14 02:13:35,phone,order not received
CUST_000256,TXN_00000402,2026-06-15 02:13:35,phone,return initiated
CUST_000428,TXN_00000406,2026-05-09 02:13:35,chat,delivery date inquiry
CUST_000183,TXN_00000415,2026-06-22 02:13:35,email,delivery date inquiry
